TopicID,Ministry,Score
24,Ministry_of_AYUSH_MoA_,0.5093686423647519
10,Ministry_of_Agriculture_and_Farmers_Welfare_MoAFW_,0.4680926405935409
10,Ministry_of_Chemicals_and_Fertilizers_MoCF_,0.40876808143880455
15,Ministry_of_Civil_Aviation_MoCA_,0.5002729706235021
14,Ministry_of_Coal_MoC_,0.5516722990063577
23,Ministry_of_Commerce_and_Industry_MoCI_,0.3959828130907037
5,Ministry_of_Communications_MoC_,0.41507936792635675
10,Ministry_of_Consumer_Affairs_Food_and_Public_Distribution_MoCAF_PD_,0.47596452345119555
9,Ministry_of_Cooperation_MoC_,0.4784370395947024
16,Ministry_of_Corporate_Affairs_MCA_,0.4470927424482688
2,Ministry_of_Culture,0.3143616011762711
22,Ministry_of_Defence_MoD_,0.4759903732918084
2,Ministry_of_Development_of_North_Eastern_Region_MDoNER_,0.3736140916263778
13,Ministry_of_Earth_Sciences_MoES_,0.49587858874944846
18,Ministry_of_Education_MoE_,0.5266766536857311
6,Ministry_of_Electronics_and_Information_Technology_MeitY_,0.4402754067127556
2,Ministry_of_Environment_Forest_and_Climate_Change_MoEFCC_,0.3495205594135373
22,Ministry_of_External_Affairs_MEA_,0.4976717881238171
2,Ministry_of_Finance_MoF_,0.3893415616822203
8,Ministry_of_Fisheries_Animal_Husbandry_and_Dairying_MoFAHD_,0.43154440801531274
10,Ministry_of_Food_Processing_Industries_MoFPI_,0.5326168835803895
2,Ministry_of_Health_and_Family_Welfare_MoHFW_,0.416390679369383
0,Ministry_of_Heavy_Industries_MoHI_,0.4884511425557443
22,Ministry_of_Home_Affairs_MHA_,0.4747918400357245
9,Ministry_of_Housing_and_Urban_Affairs_MoHUA_,0.4729446423239768
1,Ministry_of_Information_and_Broadcasting_MIB_,0.43305898633872186
12,Ministry_of_Jal_Shakti_MoJS_,0.41068587825310493
19,Ministry_of_Labour_and_Employment_MoLE_,0.39819576797723627
4,Ministry_of_Law_and_Justice_MoLJ_,0.47186274939433526
0,Ministry_of_Micro_Small_Medium_Enterprises_MoME_,0.360580530619923
14,Ministry_of_Mines_MoM_,0.6064305913383962
4,Ministry_of_Minority_Affairs_MoMA_,0.42154565179263037
21,Ministry_of_New_and_Renewable_Energy_MNRE_,0.46373776692503654
9,Ministry_of_Panchayati_Raj_MoPR_,0.5779994489791912
5,Ministry_of_Parliamentary_Affairs_MPA_,0.3991546446975506
2,Ministry_of_Personnel_Public_Grievances_and_Pensions_MoPPGP_,0.4086411332462524
14,Ministry_of_Petroleum_and_Natural_Gas_MoPNG_,0.38498541018453325
5,Ministry_of_Planning_MoP_,0.4625976101132348
7,Ministry_of_Ports_Shipping_and_Waterways_MoPSW_,0.4599678149180022
21,Ministry_of_Power_MoP_,0.4889427343540308
15,Ministry_of_Railways_MoR_,0.4510175254313466
15,Ministry_of_Road_Transport_and_Highways_MoRTH_,0.3656428600249149
9,Ministry_of_Rural_Development_MoRD_,0.5067217748102989
2,Ministry_of_Science_and_Technology_MST_,0.3804665397507505
18,Ministry_of_Skill_Development_and_Entrepreneurship_MSDE_,0.5118480646735436
2,Ministry_of_Social_Justice_and_Empowerment_MoSJE_,0.37106454799900757
5,Ministry_of_Statistics_and_Programme_Implementation_MoSPI_,0.4628114587080784
14,Ministry_of_Steel_MoS_,0.4417375647522441
23,Ministry_of_Textiles_MoT_,0.5125224677052319
2,Ministry_of_Tourism_MoT_,0.2829222849411428
9,Ministry_of_Tribal_Affairs_MoTA_,0.5740151584932542
9,Ministry_of_Women_and_Child_Development_MoWCD_,0.41649781116689016
18,Ministry_of_Youth_Affairs_and_Sports_MoYAS_,0.33415802848590576
