Source,Target,Weight,Type
15,18,0.0026666667,undirected
15,20,0.0013333333,undirected
15,22,0.00066666667,undirected
16,0,0.023703704,undirected
16,2,0.060740741,undirected
16,4,0.06962963,undirected
16,5,0.0088888889,undirected
16,6,0.0014814815,undirected
16,9,0.019259259,undirected
16,10,0.002962963,undirected
16,11,0.14074074,undirected
16,17,0.016296296,undirected
16,18,0.031111111,undirected
16,19,0.28296296,undirected
16,21,0.002962963,undirected
17,2,0.078624079,undirected
17,3,0.010647011,undirected
17,4,0.035217035,undirected
17,5,0.0073710074,undirected
17,6,0.0081900082,undirected
17,9,0.0040950041,undirected
17,11,0.047502048,undirected
17,13,0.0040950041,undirected
17,16,0.0049140049,undirected
17,17,0.085176085,undirected
17,20,0.0065520066,undirected
17,21,0.00081900082,undirected
17,22,0.34971335,undirected
17,24,0.0024570025,undirected
18,0,0.03601108,undirected
18,2,0.073407202,undirected
18,7,0.0041551247,undirected
18,10,0.038781163,undirected
18,11,0.11911357,undirected
18,14,0.30055402,undirected
18,17,0.024930748,undirected
18,20,0.0027700831,undirected
18,21,0.08033241,undirected
19,0,0.043715847,undirected
19,1,0.037470726,undirected
19,2,0.076502732,undirected
19,5,0.015612802,undirected
19,6,0.25370804,undirected
19,9,0.0070257611,undirected
19,11,0.080405933,undirected
19,13,0.006245121,undirected
19,17,0.081186573,undirected
19,18,0.0039032006,undirected
19,23,0.0093676815,undirected
19,24,0.0039032006,undirected
20,0,0.034816248,undirected
20,2,0.054158607,undirected
20,7,0.32301741,undirected
20,11,0.14119923,undirected
20,13,0.030947776,undirected
20,18,0.032882012,undirected
20,20,0.003868472,undirected
20,24,0.001934236,undirected
21,2,0.077975376,undirected
21,4,0.1751026,undirected
21,9,0.041039672,undirected
21,11,0.12859097,undirected
21,16,0.0013679891,undirected
21,17,0.017783858,undirected
21,18,0.19425445,undirected
21,20,0.010943912,undirected
21,22,0.0068399453,undirected
21,23,0.0041039672,undirected
22,0,0.0019880716,undirected
22,2,0.065606362,undirected
22,5,0.019880716,undirected
22,9,0.32604374,undirected
22,10,0.021868787,undirected
22,11,0.15109344,undirected
22,12,0.011928429,undirected
22,14,0.0019880716,undirected
22,18,0.0039761431,undirected
22,19,0.06361829,undirected
22,23,0.0019880716,undirected
23,0,0.12478921,undirected
23,2,0.042158516,undirected
23,5,0.011804384,undirected
23,11,0.12141653,undirected
23,14,0.32546374,undirected
23,15,0.028667791,undirected
23,17,0.0067453626,undirected
23,21,0.0016863406,undirected
24,0,0.0083207262,undirected
24,2,0.077912254,undirected
24,4,0.010590015,undirected
24,6,0.0030257186,undirected
24,8,0.29576399,undirected
24,11,0.060514372,undirected
24,12,0.018910741,undirected
24,13,0.016641452,undirected
24,14,0.0083207262,undirected
24,16,0.002269289,undirected
24,17,0.099848714,undirected
24,21,0.025718608,undirected
24,23,0.0098335855,undirected
24,24,0.002269289,undirected
25,2,0.082545142,undirected
25,6,0.0077386071,undirected
25,9,0.0025795357,undirected
25,10,0.021496131,undirected
25,11,0.072226999,undirected
25,12,0.0025795357,undirected
